t, x1, x2, u
0.001, 4.99933e-08, 9.99798e-05, 1
0.002, 1.99946e-07, 0.000199919, 1
0.003, 4.49817e-07, 0.000299816, 1
0.004, 7.99563e-07, 0.00039967, 1
0.005, 1.24914e-06, 0.00049948, 1
0.006, 1.79851e-06, 0.000599245, 1
0.007, 2.44762e-06, 0.000698965, 1
0.008, 3.19642e-06, 0.000798638, 1
0.009, 4.04488e-06, 0.000898263, 1
0.01, 4.99293e-06, 0.000997839, 1
0.011, 6.04054e-06, 0.00109737, 1
0.012, 7.18765e-06, 0.00119684, 1
0.013, 8.43421e-06, 0.00129627, 1
0.014, 9.78017e-06, 0.00139564, 1
0.015, 1.12255e-05, 0.00149496, 1
0.016, 1.27701e-05, 0.00159422, 1
0.017, 1.44139e-05, 0.00169343, 1
0.018, 1.61569e-05, 0.00179259, 1
0.019, 1.79991e-05, 0.00189168, 1
0.02, 1.99403e-05, 0.00199072, 1
0.021, 2.19805e-05, 0.0020897, 1
0.022, 2.41196e-05, 0.00218862, 1
0.023, 2.63577e-05, 0.00228747, 1
0.024, 2.86946e-05, 0.00238627, 1
0.025, 3.11302e-05, 0.002485, 1
0.026, 3.36645e-05, 0.00258367, 1
0.027, 3.62975e-05, 0.00268227, 1
0.028, 3.90291e-05, 0.00278081, 1
0.029, 4.18591e-05, 0.00287928, 1
0.03, 4.47876e-05, 0.00297769, 1
0.031, 4.78145e-05, 0.00307602, 1
0.032, 5.09396e-05, 0.00317429, 1
0.033, 5.4163e-05, 0.00327248, 1
0.034, 5.74846e-05, 0.00337061, 1
0.035, 6.09042e-05, 0.00346866, 1
0.036, 6.44218e-05, 0.00356664, 1
0.037, 6.80374e-05, 0.00366454, 1
0.038, 7.17509e-05, 0.00376237, 1
0.039, 7.55622e-05, 0.00386012, 1
0.04, 7.94711e-05, 0.0039578, 1
0.041, 8.34777e-05, 0.0040554, 1
0.042, 8.75819e-05, 0.00415291, 1
0.043, 9.17835e-05, 0.00425035, 1
0.044, 9.60826e-05, 0.00434771, 1
0.045, 0.000100479, 0.00444499, 1
